Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2014-09-30,16.31,16.31,16.20,16.25,5500,0.00,0.00,0.00
2014-10-01,15.98,15.99,15.90,15.90,8100,0.00,0.00,0.00
2014-10-02,15.77,15.81,15.77,15.80,15500,0.00,0.00,0.00
2014-10-03,16.35,16.40,16.33,16.38,8300,0.00,0.00,0.00
2014-10-06,16.45,16.45,16.24,16.24,5000,0.00,0.00,0.00
2014-10-07,16.14,16.14,16.10,16.10,4600,0.00,0.00,0.00
2014-10-08,15.91,16.20,15.79,16.20,4200,0.00,0.00,0.00
2014-10-09,16.19,16.23,15.93,15.98,16400,0.00,0.00,0.00
2014-10-10,15.93,15.93,15.41,15.41,3300,0.00,0.00,0.00
2014-10-13,15.36,15.42,15.21,15.42,4000,0.00,0.00,0.00
2014-10-14,15.30,15.30,15.20,15.25,5200,0.00,0.00,0.00
2014-10-15,15.01,15.16,14.99,14.99,3500,0.00,0.00,0.00
2014-10-16,15.11,15.41,15.11,15.41,3800,0.00,0.00,0.00
2014-10-17,15.44,15.46,15.29,15.34,6800,0.00,0.00,0.00
2014-10-20,15.43,15.50,15.43,15.50,5000,0.00,0.00,0.00
2014-10-21,15.68,15.92,15.68,15.90,10500,0.00,0.00,0.00
2014-10-22,15.90,15.91,15.77,15.77,3300,0.00,0.00,0.00
2014-10-23,15.90,15.94,15.90,15.94,5200,0.00,0.00,0.00
2014-10-24,16.03,16.04,16.03,16.04,3600,0.00,0.00,0.00
2014-10-27,16.05,16.05,15.98,15.99,7200,0.00,0.00,0.00
2014-10-28,16.03,16.33,16.03,16.33,6000,0.00,0.00,0.00
2014-10-29,16.19,16.19,16.04,16.10,5000,0.00,0.00,0.00
2014-10-30,16.07,16.11,15.92,16.11,5300,0.00,0.00,0.00
2014-10-31,16.51,16.54,16.51,16.53,1300,0.00,0.00,0.00
2014-11-03,16.62,16.69,16.59,16.59,2200,0.00,0.00,0.00
2014-11-04,16.50,16.59,16.50,16.59,800,0.00,0.00,0.00
2014-11-05,16.66,16.66,16.42,16.42,2000,0.00,0.00,0.00
2014-11-06,16.42,16.49,16.38,16.49,1400,0.00,0.00,0.00
2014-11-07,16.51,16.51,16.40,16.40,500,0.00,0.00,0.00
2014-11-10,16.58,16.63,16.58,16.63,2600,0.00,0.00,0.00
2014-11-11,16.56,16.56,16.56,16.56,600,0.00,0.00,0.00
2014-11-12,16.58,16.65,16.54,16.64,2000,0.00,0.00,0.00
2014-11-13,16.64,16.64,16.60,16.60,1500,0.00,0.00,0.00
2014-11-14,16.68,16.87,16.68,16.87,400,0.00,0.00,0.00
2014-11-17,16.83,16.83,16.83,16.83,300,0.00,0.00,0.00
2014-11-18,16.77,16.77,16.72,16.72,500,0.00,0.00,0.00
2014-11-19,16.65,16.65,16.45,16.45,2100,0.00,0.00,0.00
2014-11-20,16.54,16.54,16.54,16.54,300,0.00,0.00,0.00
2014-11-21,16.87,16.87,16.58,16.59,3900,0.00,0.00,0.00
2014-11-24,16.66,16.72,16.63,16.72,2500,0.00,0.00,0.00
2014-11-25,16.73,16.73,16.67,16.71,1200,0.00,0.00,0.00
2014-11-26,16.75,16.77,16.75,16.75,7100,0.00,0.00,0.00
2014-11-28,16.85,16.85,16.84,16.84,1400,0.00,0.00,0.00
2014-12-01,16.83,16.83,16.42,16.42,1500,0.00,0.00,0.00
2014-12-02,16.36,16.42,16.36,16.42,400,0.00,0.00,0.00
2014-12-03,16.45,16.45,16.45,16.45,300,0.00,0.00,0.00
2014-12-04,16.46,16.46,16.44,16.46,1100,0.00,0.00,0.00
2014-12-05,16.54,16.54,16.53,16.54,1800,0.00,0.00,0.00
2014-12-08,16.52,16.52,16.31,16.31,600,0.00,0.00,0.00
2014-12-09,16.03,16.28,16.03,16.28,600,0.00,0.00,0.00
2014-12-10,16.28,16.28,16.28,16.28,300,0.00,0.00,0.00
2014-12-11,16.31,16.37,16.30,16.31,4800,0.00,0.00,0.00
2014-12-12,16.31,16.31,16.31,16.31,300,0.00,0.00,0.00
2014-12-15,16.23,16.23,15.98,16.04,800,0.00,0.00,0.00
2014-12-16,15.96,15.96,15.68,15.68,1100,0.00,0.00,0.00
2014-12-17,15.85,15.85,15.85,15.85,300,0.00,0.00,0.00
2014-12-18,16.50,16.51,16.40,16.42,1200,0.00,0.00,0.00
2014-12-19,16.66,16.66,16.64,16.64,400,0.00,0.00,0.00
2014-12-22,16.81,16.81,16.80,16.80,300,0.00,0.00,0.00
2014-12-23,16.82,16.87,16.82,16.86,1900,0.00,0.00,0.00
2014-12-24,16.98,16.98,16.91,16.92,1100,0.00,0.00,0.00
2014-12-26,17.03,17.04,17.02,17.02,300,0.00,0.00,0.00
2014-12-29,16.92,16.94,16.92,16.93,700,0.00,0.00,0.00
2014-12-30,16.79,16.79,16.71,16.71,1700,0.00,0.00,0.00
2014-12-31,16.79,16.86,16.69,16.69,3600,0.00,0.00,0.00
2015-01-02,16.66,16.68,16.49,16.52,1000,0.00,0.00,0.00
2015-01-05,16.51,16.51,16.26,16.27,2000,0.00,0.00,0.00
2015-01-06,16.39,16.39,16.11,16.13,2000,0.00,0.00,0.00
2015-01-07,16.34,16.34,16.27,16.29,500,0.00,0.00,0.00
2015-01-08,16.67,16.67,16.63,16.63,400,0.00,0.00,0.00
2015-01-09,16.67,16.67,16.57,16.59,700,0.00,0.00,0.00
2015-01-12,16.51,16.51,16.37,16.38,700,0.00,0.00,0.00
2015-01-13,16.56,16.56,16.26,16.26,200,0.00,0.00,0.00
2015-01-14,16.33,16.33,16.12,16.20,1800,0.00,0.00,0.00
2015-01-15,16.22,16.22,16.15,16.15,400,0.00,0.00,0.00
2015-01-16,16.01,16.01,16.01,16.01,300,0.00,0.00,0.00
2015-01-20,16.10,16.33,16.10,16.30,3700,0.00,0.00,0.00
2015-01-21,16.60,16.67,16.56,16.62,4200,0.00,0.00,0.00
2015-01-22,16.67,16.88,16.55,16.88,4600,0.00,0.00,0.00
2015-01-23,17.04,17.10,17.03,17.03,1300,0.00,0.00,0.00
2015-01-26,17.30,17.30,17.03,17.08,1900,0.00,0.00,0.00
2015-01-27,16.81,16.94,16.70,16.85,5100,0.00,0.00,0.00
2015-01-28,16.98,16.98,16.63,16.63,3600,0.00,0.00,0.00
2015-01-29,16.26,16.71,16.26,16.71,3300,0.00,0.00,0.00
2015-01-30,16.65,16.65,16.63,16.64,500,0.00,0.00,0.00
2015-02-02,16.36,16.54,16.36,16.54,3500,0.00,0.00,0.00
2015-02-03,16.83,16.86,16.76,16.86,5400,0.00,0.00,0.00
2015-02-04,17.05,17.06,17.05,17.06,300,0.00,0.00,0.00
2015-02-05,17.27,17.34,17.27,17.34,1400,0.00,0.00,0.00
2015-02-06,17.44,17.46,17.44,17.46,1100,0.00,0.00,0.00
2015-02-09,17.35,17.35,17.17,17.17,600,0.00,0.00,0.00
2015-02-10,17.28,17.32,17.28,17.32,400,0.00,0.00,0.00
2015-02-11,17.45,17.45,17.45,17.45,200,0.00,0.00,0.00
